 frequency       out             out            
 1.31825674e+01 -2.07276224e-03 -8.33215237e-03 
 1.34896288e+01 -2.07637977e-03 -8.52622689e-03 
 1.38038426e+01 -2.08016781e-03 -8.72482154e-03 
 1.41253754e+01 -2.08413439e-03 -8.92804157e-03 
 1.44543977e+01 -2.08828794e-03 -9.13599469e-03 
 1.47910839e+01 -2.09263726e-03 -9.34879111e-03 
 1.51356125e+01 -2.09719159e-03 -9.56654361e-03 
 1.54881662e+01 -2.10196059e-03 -9.78936758e-03 
 1.58489319e+01 -2.10695438e-03 -1.00173811e-02 
 1.62181010e+01 -2.11218356e-03 -1.02507050e-02 
 1.65958691e+01 -2.11765922e-03 -1.04894630e-02 
 1.69824365e+01 -2.12339298e-03 -1.07337815e-02 
 1.73780083e+01 -2.12939702e-03 -1.09837901e-02 
 1.77827941e+01 -2.13568408e-03 -1.12396211e-02 
 1.81970086e+01 -2.14226749e-03 -1.15014102e-02 
 1.86208714e+01 -2.14916124e-03 -1.17692960e-02 
 1.90546072e+01 -2.15637995e-03 -1.20434205e-02 
 1.94984460e+01 -2.16393894e-03 -1.23239289e-02 
 1.99526231e+01 -2.17185427e-03 -1.26109699e-02 
 2.04173794e+01 -2.18014272e-03 -1.29046954e-02 
 2.08929613e+01 -2.18882190e-03 -1.32052612e-02 
 2.13796209e+01 -2.19791024e-03 -1.35128263e-02 
 2.18776162e+01 -2.20742701e-03 -1.38275538e-02 
 2.23872114e+01 -2.21739243e-03 -1.41496104e-02 
 2.29086765e+01 -2.22782766e-03 -1.44791665e-02 
 2.34422882e+01 -2.23875485e-03 -1.48163968e-02 
 2.39883292e+01 -2.25019720e-03 -1.51614799e-02 
 2.45470892e+01 -2.26217900e-03 -1.55145984e-02 
 2.51188643e+01 -2.27472571e-03 -1.58759394e-02 
 2.57039578e+01 -2.28786396e-03 -1.62456943e-02 
 2.63026799e+01 -2.30162166e-03 -1.66240587e-02 
 2.69153480e+01 -2.31602801e-03 -1.70112331e-02 
 2.75422870e+01 -2.33111363e-03 -1.74074224e-02 
 2.81838293e+01 -2.34691056e-03 -1.78128362e-02 
 2.88403150e+01 -2.36345234e-03 -1.82276893e-02 
 2.95120923e+01 -2.38077413e-03 -1.86522012e-02 
 3.01995172e+01 -2.39891271e-03 -1.90865965e-02 
 3.09029543e+01 -2.41790663e-03 -1.95311051e-02 
 3.16227766e+01 -2.43779625e-03 -1.99859623e-02 
 3.23593657e+01 -2.45862382e-03 -2.04514087e-02 
 3.31131121e+01 -2.48043362e-03 -2.09276905e-02 
 3.38844156e+01 -2.50327200e-03 -2.14150597e-02 
 3.46736850e+01 -2.52718749e-03 -2.19137740e-02 
 3.54813389e+01 -2.55223095e-03 -2.24240973e-02 
 3.63078055e+01 -2.57845560e-03 -2.29462993e-02 
 3.71535229e+01 -2.60591721e-03 -2.34806562e-02 
 3.80189396e+01 -2.63467417e-03 -2.40274504e-02 
 3.89045145e+01 -2.66478765e-03 -2.45869710e-02 
 3.98107171e+01 -2.69632168e-03 -2.51595138e-02 
 4.07380278e+01 -2.72934335e-03 -2.57453811e-02 
 4.16869383e+01 -2.76392292e-03 -2.63448827e-02 
 4.26579519e+01 -2.80013396e-03 -2.69583350e-02 
 4.36515832e+01 -2.83805353e-03 -2.75860623e-02 
 4.46683592e+01 -2.87776234e-03 -2.82283958e-02 
 4.57088190e+01 -2.91934493e-03 -2.88856749e-02 
 4.67735141e+01 -2.96288982e-03 -2.95582463e-02 
 4.78630092e+01 -3.00848976e-03 -3.02464650e-02 
 4.89778819e+01 -3.05624185e-03 -3.09506941e-02 
 5.01187234e+01 -3.10624784e-03 -3.16713051e-02 
 5.12861384e+01 -3.15861427e-03 -3.24086780e-02 
 5.24807460e+01 -3.21345274e-03 -3.31632016e-02 
 5.37031796e+01 -3.27088015e-03 -3.39352735e-02 
 5.49540874e+01 -3.33101896e-03 -3.47253006e-02 
 5.62341325e+01 -3.39399741e-03 -3.55336989e-02 
 5.75439937e+01 -3.45994985e-03 -3.63608943e-02 
 5.88843655e+01 -3.52901701e-03 -3.72073220e-02 
 6.02559586e+01 -3.60134632e-03 -3.80734276e-02 
 6.16595002e+01 -3.67709219e-03 -3.89596666e-02 
 6.30957344e+01 -3.75641640e-03 -3.98665050e-02 
 6.45654229e+01 -3.83948840e-03 -4.07944194e-02 
 6.60693448e+01 -3.92648574e-03 -4.17438974e-02 
 6.76082975e+01 -4.01759438e-03 -4.27154376e-02 
 6.91830971e+01 -4.11300918e-03 -4.37095499e-02 
 7.07945784e+01 -4.21293428e-03 -4.47267559e-02 
 7.24435960e+01 -4.31758352e-03 -4.57675888e-02 
 7.41310241e+01 -4.42718100e-03 -4.68325943e-02 
 7.58577575e+01 -4.54196147e-03 -4.79223300e-02 
 7.76247117e+01 -4.66217091e-03 -4.90373664e-02 
 7.94328235e+01 -4.78806708e-03 -5.01782867e-02 
 8.12830516e+01 -4.91992004e-03 -5.13456874e-02 
 8.31763771e+01 -5.05801278e-03 -5.25401782e-02 
 8.51138038e+01 -5.20264186e-03 -5.37623827e-02 
 8.70963590e+01 -5.35411804e-03 -5.50129381e-02 
 8.91250938e+01 -5.51276699e-03 -5.62924963e-02 
 9.12010839e+01 -5.67893003e-03 -5.76017235e-02 
 9.33254301e+01 -5.85296484e-03 -5.89413005e-02 
 9.54992586e+01 -6.03524635e-03 -6.03119236e-02 
 9.77237221e+01 -6.22616751e-03 -6.17143042e-02 
 1.00000000e+02 -6.42614019e-03 -6.31491695e-02 
 1.02329299e+02 -6.63559616e-03 -6.46172626e-02 
 1.04712855e+02 -6.85498799e-03 -6.61193430e-02 
 1.07151931e+02 -7.08479016e-03 -6.76561866e-02 
 1.09647820e+02 -7.32550009e-03 -6.92285863e-02 
 1.12201845e+02 -7.57763929e-03 -7.08373522e-02 
 1.14815362e+02 -7.84175457e-03 -7.24833117e-02 
 1.17489755e+02 -8.11841929e-03 -7.41673100e-02 
 1.20226443e+02 -8.40823468e-03 -7.58902104e-02 
 1.23026877e+02 -8.71183127e-03 -7.76528945e-02 
 1.25892541e+02 -9.02987032e-03 -7.94562624e-02 
 1.28824955e+02 -9.36304535e-03 -8.13012332e-02 
 1.31825674e+02 -9.71208386e-03 -8.31887451e-02 
 1.34896288e+02 -1.00777489e-02 -8.51197557e-02 
 1.38038426e+02 -1.04608411e-02 -8.70952421e-02 
 1.41253754e+02 -1.08622003e-02 -8.91162016e-02 
 1.44543977e+02 -1.12827078e-02 -9.11836512e-02 
 1.47910839e+02 -1.17232882e-02 -9.32986285e-02 
 1.51356125e+02 -1.21849120e-02 -9.54621913e-02 
 1.54881662e+02 -1.26685978e-02 -9.76754183e-02 
 1.58489319e+02 -1.31754146e-02 -9.99394088e-02 
 1.62181010e+02 -1.37064845e-02 -1.02255283e-01 
 1.65958691e+02 -1.42629857e-02 -1.04624182e-01 
 1.69824365e+02 -1.48461554e-02 -1.07047267e-01 
 1.73780083e+02 -1.54572923e-02 -1.09525723e-01 
 1.77827941e+02 -1.60977608e-02 -1.12060752e-01 
 1.81970086e+02 -1.67689936e-02 -1.14653579e-01 
 1.86208714e+02 -1.74724960e-02 -1.17305449e-01 
 1.90546072e+02 -1.82098493e-02 -1.20017629e-01 
 1.94984460e+02 -1.89827150e-02 -1.22791403e-01 
 1.99526231e+02 -1.97928393e-02 -1.25628076e-01 
 2.04173794e+02 -2.06420574e-02 -1.28528974e-01 
 2.08929613e+02 -2.15322986e-02 -1.31495438e-01 
 2.13796209e+02 -2.24655910e-02 -1.34528828e-01 
 2.18776162e+02 -2.34440676e-02 -1.37630523e-01 
